Symbol,LTP,Prev_Close,Change%,Turnover_USD,Liquidity_Tier,EMA50,Above_EMA50,EMA50_Rising,Quality_Score,Quality_Grade,Rel_Volume,Compression_Ratio,Body_Pct,Actionable,Recomputed_Signal,Darvas_Signal,Box_Top,Box_Bottom,Upside_to_Top%,Position_in_Box%,Data_Points,GC_Signal,DMA50,DMA200,DMA_Gap%,ML_Direction,ML_Pred_Ret%,ML_Confidence,ML_TrainRMSE,Name,Sector,Piotroski_Score,Piotroski_Strong,CoffeeCan,CC_Score,Revenue_CAGR_%,ROE_avg_%,MagicFormula,ROIC_%,Earnings_Yield_%,BullCartel,Sales_Growth_YoY_%,Profit_Growth_YoY_%,Net_Profit_$M,Error,golden_cross,scan_path,as_of,scr_breakout,scr_piotroski,scr_coffee,scr_magic,scr_bull,scr_gc,scr_quality_ab,scr_actionable,scr_above_ema50,scr_ml,screens_passed,screens_list,conviction_score,sleeve,thesis,rank,investor_rank,weight,notional_per_100k,shares_per_100k
WWD,414.37,404.59,2.42,52402880.0,T1_MOST_LIQUID,394.77,1.0,1.0,80.0,A,0.39,0.33,89.0,1.0,BREAKOUT_BUY,BREAKOUT_BUY,404.05,382.15,-2.49,147.1,1282.0,ABOVE_200DMA,388.24,342.91,13.22,BEARISH,-5.926,0.541,0.1067,"Woodward, Inc.",Industrials,9.0,YES,FAIL,5/6,14.4,13.65,FAIL,15.23,2.33,PASS,23.42,23.01,134.01,,False,/Users/umashankar/market-pipeline/code/python_files/us_full_scan/us_full_scan_20260724_0043.xlsx,2026-07-24 00:43,True,True,False,False,True,False,True,True,True,False,6,Darvas breakout; Piotroski strong; Bull Cartel; Quality A/B; Actionable setup; Above EMA50,77.4,CORE,"Woodward, Inc. (Industrials). Hits: Darvas breakout; Piotroski strong; Bull Cartel; Quality A/B; Actionable setup; Above EMA50. Price $414.37, +2.4% day. Piotroski F=9. Avg ROE 13.7%. Breakout quality A (80). Liquidity T1_MOST_LIQUID · ~$52,402,880/day. Multi-screen agreement → highest conviction sleeve.",1,1,0.1,10000.0,24.13
ONC,327.69,319.93,2.43,54646127.0,T1_MOST_LIQUID,297.59,1.0,1.0,83.8,A,1.05,0.31,55.0,1.0,BREAKOUT_BUY,BREAKOUT_BUY,323.82,303.08,-1.18,118.7,1282.0,BELOW_200DMA,292.05,314.57,-7.16,BEARISH,-3.408,0.309,0.0982,BeOne Medicines Ltd.,Healthcare,7.0,YES,FAIL,4/6,55.69,-20.85,FAIL,7.47,1.63,PASS,35.46,17802.13,227.36,,False,/Users/umashankar/market-pipeline/code/python_files/us_full_scan/us_full_scan_20260724_0043.xlsx,2026-07-24 00:43,True,True,False,False,True,False,True,True,True,False,6,Darvas breakout; Piotroski strong; Bull Cartel; Quality A/B; Actionable setup; Above EMA50,76.4,CORE,"BeOne Medicines Ltd. (Healthcare). Hits: Darvas breakout; Piotroski strong; Bull Cartel; Quality A/B; Actionable setup; Above EMA50. Price $327.69, +2.4% day. Piotroski F=7. Avg ROE -20.9%. Breakout quality A (84). Liquidity T1_MOST_LIQUID · ~$54,646,127/day. Multi-screen agreement → highest conviction sleeve.",2,2,0.1,10000.0,30.52
MU,983.54,959.48,2.51,1588929322.0,T1_MOST_LIQUID,905.37,1.0,1.0,63.0,B,0.61,0.53,18.0,1.0,BREAKOUT_BUY,BREAKOUT_BUY,978.4,804.0,-0.52,103.0,1283.0,ABOVE_200DMA,952.06,498.21,91.1,BEARISH,-6.146,0.262,0.3389,"Micron Technology, Inc.",Technology,7.0,YES,FAIL,2/6,6.71,5.42,FAIL,14.2,0.93,PASS,345.72,1398.3,28243.0,,False,/Users/umashankar/market-pipeline/code/python_files/us_full_scan/us_full_scan_20260724_0043.xlsx,2026-07-24 00:43,True,True,False,False,True,False,True,True,True,False,6,Darvas breakout; Piotroski strong; Bull Cartel; Quality A/B; Actionable setup; Above EMA50,74.7,CORE,"Micron Technology, Inc. (Technology). Hits: Darvas breakout; Piotroski strong; Bull Cartel; Quality A/B; Actionable setup; Above EMA50. Price $983.54, +2.5% day. Piotroski F=7. Avg ROE 5.4%. Breakout quality B (63). Liquidity T1_MOST_LIQUID · ~$1,588,929,322/day. Multi-screen agreement → highest conviction sleeve.",3,3,0.1,10000.0,10.17
STX,919.62,908.1,1.27,192251057.0,T1_MOST_LIQUID,843.9,1.0,1.0,62.8,B,0.8,0.6,46.0,1.0,BREAKOUT_BUY,BREAKOUT_BUY,893.0,700.39,-2.89,113.8,1283.0,ABOVE_200DMA,886.37,499.85,77.33,BULLISH,5.588,0.274,0.1954,Seagate Technology Holdings PLC,Technology,7.0,YES,FAIL,3/6,-7.94,1512.84,FAIL,34.12,0.91,PASS,44.07,120.0,748.0,,False,/Users/umashankar/market-pipeline/code/python_files/us_full_scan/us_full_scan_20260724_0043.xlsx,2026-07-24 00:43,True,True,False,False,True,False,True,True,True,False,6,Darvas breakout; Piotroski strong; Bull Cartel; Quality A/B; Actionable setup; Above EMA50,74.7,CORE,"Seagate Technology Holdings PLC (Technology). Hits: Darvas breakout; Piotroski strong; Bull Cartel; Quality A/B; Actionable setup; Above EMA50. Price $919.62, +1.3% day. Piotroski F=7. Avg ROE 1512.8%. Breakout quality B (63). Liquidity T1_MOST_LIQUID · ~$192,251,057/day. Multi-screen agreement → highest conviction sleeve.",4,4,0.1,10000.0,10.87
CHRW,206.12,207.35,-0.59,112352929.0,T1_MOST_LIQUID,188.69,1.0,1.0,67.5,B,0.55,0.36,64.0,1.0,BREAKOUT_BUY,BREAKOUT_BUY,193.98,186.75,-5.89,267.9,1282.0,ABOVE_200DMA,185.09,169.54,9.17,BULLISH,13.015,1.0,0.1582,"C.H. Robinson Worldwide, Inc.",Industrials,7.0,YES,FAIL,5/6,-13.05,37.82,FAIL,24.64,3.18,FAIL,-0.84,8.82,147.23,,False,/Users/umashankar/market-pipeline/code/python_files/us_full_scan/us_full_scan_20260724_0043.xlsx,2026-07-24 00:43,True,True,False,False,False,False,True,True,True,True,6,Darvas breakout; Piotroski strong; Quality A/B; Actionable setup; ML bullish; Above EMA50,70.1,CORE,"C.H. Robinson Worldwide, Inc. (Industrials). Hits: Darvas breakout; Piotroski strong; Quality A/B; Actionable setup; ML bullish; Above EMA50. Price $206.12, -0.6% day. Piotroski F=7. Avg ROE 37.8%. Breakout quality B (68). Liquidity T1_MOST_LIQUID · ~$112,352,929/day. Multi-screen agreement → highest conviction sleeve.",5,5,0.1,10000.0,48.52
CASY,868.59,856.74,1.38,71599483.0,T1_MOST_LIQUID,817.25,1.0,1.0,69.0,B,0.44,0.2,47.0,1.0,BREAKOUT_BUY,BREAKOUT_BUY,804.66,765.03,-7.36,261.3,1282.0,ABOVE_200DMA,825.32,680.77,21.23,BEARISH,-1.203,0.126,0.087,"Caseys General Stores, Inc.",Consumer Cyclical,9.0,YES,FAIL,5/6,5.17,16.77,FAIL,13.63,3.06,FAIL,14.5,65.49,162.68,,False,/Users/umashankar/market-pipeline/code/python_files/us_full_scan/us_full_scan_20260724_0043.xlsx,2026-07-24 00:43,True,True,False,False,False,False,True,True,True,False,5,Darvas breakout; Piotroski strong; Quality A/B; Actionable setup; Above EMA50,66.5,CORE,"Caseys General Stores, Inc. (Consumer Cyclical). Hits: Darvas breakout; Piotroski strong; Quality A/B; Actionable setup; Above EMA50. Price $868.59, +1.4% day. Piotroski F=9. Avg ROE 16.8%. Breakout quality B (69). Liquidity T1_MOST_LIQUID · ~$71,599,483/day. Multi-screen agreement → highest conviction sleeve.",6,6,0.1,10000.0,11.51
HST,24.01,24.5,-2.0,106592011.0,T1_MOST_LIQUID,22.89,1.0,1.0,63.8,B,0.64,0.6,73.0,1.0,BREAKOUT_BUY,BREAKOUT_BUY,23.56,22.64,-1.89,149.5,1282.0,ABOVE_200DMA,23.01,18.99,21.15,BULLISH,0.735,0.115,0.0638,"Host Hotels & Resorts, Inc.",Real Estate,8.0,YES,FAIL,4/6,7.61,10.7,FAIL,9.06,5.28,FAIL,3.2,99.19,494.0,,False,/Users/umashankar/market-pipeline/code/python_files/us_full_scan/us_full_scan_20260724_0043.xlsx,2026-07-24 00:43,True,True,False,False,False,False,True,True,True,False,5,Darvas breakout; Piotroski strong; Quality A/B; Actionable setup; Above EMA50,65.4,CORE,"Host Hotels & Resorts, Inc. (Real Estate). Hits: Darvas breakout; Piotroski strong; Quality A/B; Actionable setup; Above EMA50. Price $24.01, -2.0% day. Piotroski F=8. Avg ROE 10.7%. Breakout quality B (64). Liquidity T1_MOST_LIQUID · ~$106,592,011/day. Multi-screen agreement → highest conviction sleeve.",7,7,0.1,10000.0,416.49
ILMN,194.96,190.87,2.14,242599760.0,T1_MOST_LIQUID,170.54,1.0,1.0,63.0,B,0.4,0.29,27.0,1.0,BREAKOUT_BUY,BREAKOUT_BUY,191.87,178.88,-1.58,123.7,1282.0,ABOVE_200DMA,167.97,136.23,23.3,BULLISH,6.498,0.48,0.1023,"Illumina, Inc.",Healthcare,7.0,YES,FAIL,3/6,-1.78,-26.82,FAIL,23.46,3.92,FAIL,4.8,2.29,134.0,,False,/Users/umashankar/market-pipeline/code/python_files/us_full_scan/us_full_scan_20260724_0043.xlsx,2026-07-24 00:43,True,True,False,False,False,False,True,True,True,False,5,Darvas breakout; Piotroski strong; Quality A/B; Actionable setup; Above EMA50,64.7,CORE,"Illumina, Inc. (Healthcare). Hits: Darvas breakout; Piotroski strong; Quality A/B; Actionable setup; Above EMA50. Price $194.96, +2.1% day. Piotroski F=7. Avg ROE -26.8%. Breakout quality B (63). Liquidity T1_MOST_LIQUID · ~$242,599,760/day. Multi-screen agreement → highest conviction sleeve.",8,8,0.1,10000.0,51.29
DRS,48.1,45.91,4.77,12085787.0,T2_LIQUID,44.66,1.0,1.0,75.0,B,0.71,0.27,61.0,1.0,BREAKOUT_BUY,BREAKOUT_BUY,45.42,42.51,-5.57,192.1,1282.0,ABOVE_200DMA,45.01,41.22,9.2,BEARISH,-2.058,0.185,0.1499,,,7.0,YES,FAIL,5/6,10.65,11.19,FAIL,10.57,2.91,FAIL,5.88,24.0,62.0,,False,/Users/umashankar/market-pipeline/code/python_files/us_full_scan/us_full_scan_20260724_0043.xlsx,2026-07-24 00:43,True,True,False,False,False,False,True,True,True,False,5,Darvas breakout; Piotroski strong; Quality A/B; Actionable setup; Above EMA50,64.7,CORE,"nan (nan). Hits: Darvas breakout; Piotroski strong; Quality A/B; Actionable setup; Above EMA50. Price $48.10, +4.8% day. Piotroski F=7. Avg ROE 11.2%. Breakout quality B (75). Liquidity T2_LIQUID · ~$12,085,787/day. Multi-screen agreement → highest conviction sleeve.",9,9,0.1,10000.0,207.9
MEDP,605.26,528.12,14.61,72814783.0,T1_MOST_LIQUID,502.12,1.0,1.0,75.5,B,2.95,0.19,49.0,1.0,BREAKOUT_BUY,BREAKOUT_BUY,540.86,514.47,-10.64,344.0,1282.0,BELOW_200DMA,482.25,516.21,-6.58,BEARISH,-6.69,0.492,0.0884,"Medpace Holdings, Inc.",Healthcare,6.0,NO,PASS,6/6,20.12,65.34,FAIL,84.68,3.61,FAIL,26.5,8.09,123.87,,False,/Users/umashankar/market-pipeline/code/python_files/us_full_scan/us_full_scan_20260724_0043.xlsx,2026-07-24 00:43,True,False,True,False,False,False,True,True,True,False,5,Darvas breakout; Coffee Can; Quality A/B; Actionable setup; Above EMA50,63.0,CORE,"Medpace Holdings, Inc. (Healthcare). Hits: Darvas breakout; Coffee Can; Quality A/B; Actionable setup; Above EMA50. Price $605.26, +14.6% day. Piotroski F=6. Avg ROE 65.3%. Breakout quality B (76). Liquidity T1_MOST_LIQUID · ~$72,814,783/day. Multi-screen agreement → highest conviction sleeve.",10,10,0.1,10000.0,16.52
